source;target;weight
Culp, Julia;Bos, Coenraad V.;79
Phelps, Cynthia;Young, Rebecca;53
Drucker, Stanley;LeClair, Judith;35
LeClair, Judith;Myers, Philip;34
Robinson, Joseph;Drucker, Stanley;33
Cook, Barbara;Donovan, Peter;33
Cook, Barbara;Saporito, James;33
Robinson, Joseph;LeClair, Judith;32
Robinson, Joseph;Myers, Philip;31
Drucker, Stanley;Myers, Philip;30
New York Choral Artists;American Boychoir, The;29
Kaufman, Mindy;LeClair, Judith;28
Dicterow, Glenn;Brey, Carter;27
Dicterow, Glenn;Stacy, Thomas;26
Phelps, Cynthia;Brey, Carter;25
Kaufman, Mindy;Drucker, Stanley;25
Corigliano, John, Sr.;Varga, Laszlo;25
Stacy, Thomas;Sylar, Sherry;24
Robinson, Joseph;Stacy, Thomas;24
Carpenter, Mary Chapin;Jennings, John;24
Saporito, James;Donovan, Peter;24
Erskine, Peter;Jennings, John;23
Jennings, John;Colley, Scott;23
Douglas, Jerry;Jennings, John;23
Carroll, Jon;Jennings, John;23
Levine, Duke;Jennings, John;23
Rollings, Matt;Jennings, John;23
Piastro, Mishel;Schuster, Joseph;22
Dicterow, Glenn;Neubauer, Paul;22
Dicterow, Glenn;Kaufman, Mindy;22
Whittemore, Arthur;Lowe, Jack;22
Cook, Barbara;Musiker, Lee;22
Stacy, Thomas;LeClair, Judith;22
Dicterow, Glenn;Ginsberg, Marc;21
Kaufman, Mindy;Stacy, Thomas;21
Dicterow, Glenn;Phelps, Cynthia;21
Levinson, Eugene;Kaufman, Mindy;21
United States Marine Drum and Bugle Corps;New York Philharmonic;20
Nordica, Lillian;Simmons, E. Romayne;20
Kaufman, Mindy;Robinson, Joseph;20
Myers, Philip;Spanjer, R. Allen;20
Myers, Philip;Ralske, Erik;20
Kaufman, Mindy;Bial, Bert;19
Staples, Sheryl;Phelps, Cynthia;19
Kaufman, Mindy;Freeman, Stephen;19
Drucker, Stanley;Bial, Bert;19
Kaufman, Mindy;Simenauer, Peter;19
Dicterow, Glenn;Myers, Philip;19
Drucker, Stanley;Freeman, Stephen;19
Kaufman, Mindy;Myers, Philip;18
Dicterow, Glenn;LeClair, Judith;18
Ginsberg, Marc;Kaufman, Mindy;18
Igudesman & Joo;Joo, Hyung-ki;18
Dicterow, Glenn;Robinson, Joseph;18
Neubauer, Paul;Kaufman, Mindy;18
Smith, Philip;Alessi, Joseph;18
Wummer, John;Gomberg, Harold;18
Staples, Sheryl;Brey, Carter;17
Igudesman & Joo;Igudesman, Aleksey;17
Igudesman, Aleksey;Joo, Hyung-ki;17
Levinson, Eugene;LeClair, Judith;17
Robinson, Joseph;Bial, Bert;17
Corigliano, John, Sr.;Gomberg, Harold;17
LeClair, Judith;Bial, Bert;17
Dicterow, Glenn;Levinson, Eugene;17
Myers, Philip;Carabella, John;17
Labate, Bruno;Kohon, Benjamin;17
Drucker, Stanley;Carabella, John;16
Stacy, Thomas;Myers, Philip;16
Ginsberg, Marc;Levinson, Eugene;16
Bial, Bert;Myers, Philip;16
Robinson, Joseph;Carabella, John;16
Bellison, Simeon;Kohon, Benjamin;16
Labate, Bruno;Bellison, Simeon;16
Simenauer, Peter;Myers, Philip;15
Simenauer, Peter;Freeman, Stephen;15
Spanjer, R. Allen;Wall, Howard;15
Amans, John;Bellison, Simeon;15
Freeman, Stephen;Bial, Bert;15
Kaufman, Mindy;Carabella, John;15
Bial, Bert;Carabella, John;15
Musiker, Lee;Saporito, James;15
Piastro, Mishel;Wallenstein, Alfred;15
Labate, Bruno;Jaenicke, Bruno;15
Young, Rebecca;Brey, Carter;15
Musiker, Lee;Donovan, Peter;15
Ginsberg, Marc;Neubauer, Paul;15
Simenauer, Peter;Bial, Bert;15
Neubauer, Paul;Levinson, Eugene;15
Ginsberg, Marc;LeClair, Judith;15
Bellison, Simeon;Jaenicke, Bruno;15
Myers, Philip;Wall, Howard;15
Robinson, Joseph;Simenauer, Peter;15
Carpenter, Mary Chapin;Levine, Duke;14
Brey, Carter;Party, Lionel;14
Charlap, Bill;De Rosa, Richard;14
Mulligan, Gerry;Charlap, Bill;14
Robinson, Joseph;Freeman, Stephen;14
Dicterow, Glenn;Simenauer, Peter;14
Stacy, Thomas;Bial, Bert;14
Mulligan Quartet, The Gerry;Johnson, Dean;14
Dicterow, Glenn;Munroe, Lorne;14
Carpenter, Mary Chapin;Douglas, Jerry;14
Mulligan Quartet, The Gerry;Charlap, Bill;14
Dicterow, Glenn;Drucker, Stanley;14
Levinson, Eugene;Drucker, Stanley;14
Botti, Robert;LeClair, Judith;14
Corigliano, John, Sr.;Wummer, John;14
Johnson, Dean;De Rosa, Richard;14
Simenauer, Peter;LeClair, Judith;14
Carpenter, Mary Chapin;Carroll, Jon;14
Stacy, Thomas;Simenauer, Peter;14
Stacy, Thomas;Drucker, Stanley;14
Stacy, Thomas;Freeman, Stephen;14
Freeman, Stephen;LeClair, Judith;14
Mulligan Quartet, The Gerry;De Rosa, Richard;14
Mulligan, Gerry;De Rosa, Richard;14
Dicterow, Glenn;Sylar, Sherry;14
Harrell, Mack;Westminster Choir;14
Mulligan, Gerry;Johnson, Dean;14
Amans, John;Labate, Bruno;14
Charlap, Bill;Johnson, Dean;14
LeClair, Judith;Carabella, John;14
Amans, John;Kohon, Benjamin;13
Rollings, Matt;Levine, Duke;13
Bernstein, Leonard;Corigliano, John, Sr.;13
Ginsberg, Marc;Freeman, Stephen;13
Kohon, Benjamin;Jaenicke, Bruno;13
Neubauer, Paul;Robinson, Joseph;13
Dicterow, Glenn;Bial, Bert;13
Dicterow, Glenn;Freeman, Stephen;13
Ginsberg, Marc;Simenauer, Peter;13
Drucker, Stanley;Simenauer, Peter;13
Mulligan, Gerry;Mulligan Quartet, The Gerry;13
Ralske, Erik;Wall, Howard;13
Ginsberg, Marc;Bial, Bert;13
Quivar, Florence;New York Choral Artists;13
Levinson, Eugene;Simenauer, Peter;13
Munroe, Lorne;Kaufman, Mindy;13
Ginsberg, Marc;Munroe, Lorne;13
Staples, Sheryl;Young, Rebecca;13
Ginsberg, Marc;Drucker, Stanley;13
Neubauer, Paul;LeClair, Judith;13
Neubauer, Paul;Stacy, Thomas;13
Neubauer, Paul;Simenauer, Peter;13
Neubauer, Paul;Drucker, Stanley;13
Levinson, Eugene;Bial, Bert;13
Neubauer, Paul;Freeman, Stephen;13
Levinson, Eugene;Stacy, Thomas;13
Carpenter, Mary Chapin;Rollings, Matt;13
Ginsberg, Marc;Stacy, Thomas;13
Staples, Sheryl;Kim, Michelle;13
Ginsberg, Marc;Robinson, Joseph;13
Levinson, Eugene;Freeman, Stephen;13
Freeman, Stephen;Myers, Philip;13
Brey, Carter;Levinson, Eugene;13
Neubauer, Paul;Bial, Bert;13
